,N_TraitValue,ResDensity,ID
0,0.001205546,10.0,39835
1,0.001064899,10.0,39835
2,0.001205546,10.0,39835
3,0.002561778,25.0,39835
4,0.002411097,25.0,39835
5,0.002009236,25.0,39835
6,0.0015873060000000001,25.0,39835
7,0.004329917,50.0,39835
8,0.0005247930000000001,19.9323,39836
9,0.000950054,40.1737,39836
10,0.001321028,60.0883,39836
11,0.001646761,80.3182,39836
12,0.0019001110000000001,100.219,39836
13,0.0021805929999999998,120.12299999999999,39836
14,0.002370611,140.338,39836
15,0.0025696670000000003,160.232,39836
16,0.002759685,180.447,39836
17,0.0029044440000000004,200.335,39836
18,0.000255428,19.9323,39837
19,0.00048348900000000003,40.1737,39837
20,0.000702426,60.0883,39837
21,0.000893998,80.3182,39837
22,0.001076446,100.219,39837
23,0.00124065,120.12299999999999,39837
24,0.0013866070000000002,140.338,39837
25,0.001514322,160.232,39837
26,0.001642037,180.447,39837
27,0.0017788720000000001,180.447,39837
28,0.00012963,19.9323,39838
29,0.000231481,40.1737,39838
30,0.00034259300000000003,60.0883,39838
31,0.00047222199999999995,80.3182,39838
32,0.000574074,100.219,39838
33,0.000666667,120.12299999999999,39838
34,0.000759259,140.338,39838
35,0.000851852,160.232,39838
36,0.0009444439999999999,180.447,39838
37,0.001037037,200.335,39838
38,0.000123763,19.9323,39839
39,0.000209748,40.1737,39839
40,0.000276806,60.0883,39839
41,0.00031558,80.3182,39839
42,0.00040158,100.219,39839
43,0.000430828,120.12299999999999,39839
44,0.000497931,140.338,39839
45,0.000536659,160.232,39839
46,0.0006131940000000001,180.447,39839
47,0.000670835,200.335,39839
48,0.28732800000000003,0.25,39840
49,0.16456199999999999,0.25,39840
50,0.186344,0.25,39840
51,0.233869,0.25,39840
52,0.0578243,0.5,39840
53,0.11723099999999999,0.5,39840
54,0.214261,0.5,39840
55,0.259806,0.5,39840
56,0.319212,0.5,39840
57,0.335054,0.5,39840
58,0.139408,1.0,39840
59,0.202774,1.0,39840
60,0.25624,1.0,39840
61,0.34931,1.0,39840
62,0.41861800000000005,1.0,39840
