"","X","N_TraitValue","ResDensity","ID","N_quad","N_cubic","N_Holling2","N_HollingGen","AIC_quad","AIC_cubic","AIC_Holling2","AIC_HollingGen","BIC_quad","BIC_cubic","BIC_Holling2","BIC_HollingGen","R2_quad","R2_cubic","R2_Holling2","R2_HollingGen"
"1",1,0.001205546,10,39835,0.00115866366667353,NA,NA,NA,-100.71673107138,NA,NA,NA,-100.398964904661,NA,NA,NA,0.928422260299948,NA,NA,NA
"2",2,0.001064899,10,39835,0.00115866366667353,NA,NA,NA,-100.71673107138,NA,NA,NA,-100.398964904661,NA,NA,NA,0.928422260299948,NA,NA,NA
"3",3,0.001205546,10,39835,0.00115866366667353,NA,NA,NA,-100.71673107138,NA,NA,NA,-100.398964904661,NA,NA,NA,0.928422260299948,NA,NA,NA
"4",4,0.002561778,25,39835,0.0021423542500097,NA,NA,NA,-100.71673107138,NA,NA,NA,-100.398964904661,NA,NA,NA,0.928422260299948,NA,NA,NA
"5",5,0.002411097,25,39835,0.0021423542500097,NA,NA,NA,-100.71673107138,NA,NA,NA,-100.398964904661,NA,NA,NA,0.928422260299948,NA,NA,NA
"6",6,0.002009236,25,39835,0.0021423542500097,NA,NA,NA,-100.71673107138,NA,NA,NA,-100.398964904661,NA,NA,NA,0.928422260299948,NA,NA,NA
"7",7,0.001587306,25,39835,0.0021423542500097,NA,NA,NA,-100.71673107138,NA,NA,NA,-100.398964904661,NA,NA,NA,0.928422260299948,NA,NA,NA
"8",8,0.004329917,50,39835,0.00432991700001274,NA,NA,NA,-100.71673107138,NA,NA,NA,-100.398964904661,NA,NA,NA,0.928422260299948,NA,NA,NA
"9",9,0.000524793,19.9323,39836,0.000550289891079802,0.000526118183777618,0.000513583302043378,0.000520304380814665,-180.428102584977,-191.851427200844,-195.128782868223,-194.064656000445,-179.217762213001,-190.338501735874,-194.221027589241,-192.854315628468,0.999325094081236,0.999823690523522,0.99981047796959,0.9998274101518
"10",10,0.000950054,40.1737,39836,0.000942508654085991,0.000950752242378044,0.000952176378356242,0.000955856487194078,-180.428102584977,-191.851427200844,-195.128782868223,-194.064656000445,-179.217762213001,-190.338501735874,-194.221027589241,-192.854315628468,0.999325094081236,0.999823690523522,0.99981047796959,0.9998274101518
"11",11,0.001321028,60.0883,39836,0.00129627771488953,0.00131640663927062,0.0013200983252673,0.00132060563787072,-180.428102584977,-191.851427200844,-195.128782868223,-194.064656000445,-179.217762213001,-190.338501735874,-194.221027589241,-192.854315628468,0.999325094081236,0.999823690523522,0.99981047796959,0.9998274101518
"12",12,0.001646761,80.3182,39836,0.00162303142487954,0.00164075244664921,0.00164258904994882,0.00164087661654589,-180.428102584977,-191.851427200844,-195.128782868223,-194.064656000445,-179.217762213001,-190.338501735874,-194.221027589241,-192.854315628468,0.999325094081236,0.999823690523522,0.99981047796959,0.9998274101518
"13",13,0.001900111,100.219,39836,0.00191239470297288,0.00191921290528126,0.00191910957422496,0.00191633168614691,-180.428102584977,-191.851427200844,-195.128782868223,-194.064656000445,-179.217762213001,-190.338501735874,-194.221027589241,-192.854315628468,0.999325094081236,0.999823690523522,0.99981047796959,0.9998274101518
"14",14,0.002180593,120.123,39836,0.0021699850698952,0.00216309296574581,0.00216256865449886,0.00215971357003145,-180.428102584977,-191.851427200844,-195.128782868223,-194.064656000445,-179.217762213001,-190.338501735874,-194.221027589241,-192.854315628468,0.999325094081236,0.999823690523522,0.99981047796959,0.9998274101518
"15",15,0.002370611,140.338,39836,0.00239902857558122,0.00238113267022247,0.00238170940309181,0.0023796090242705,-180.428102584977,-191.851427200844,-195.128782868223,-194.064656000445,-179.217762213001,-190.338501735874,-194.221027589241,-192.854315628468,0.999325094081236,0.999823690523522,0.99981047796959,0.9998274101518
"16",16,0.002569667,160.232,39836,0.00259238852630895,0.00257223592876338,0.00257415750782366,0.00257345003032301,-180.428102584977,-191.851427200844,-195.128782868223,-194.064656000445,-179.217762213001,-190.338501735874,-194.221027589241,-192.854315628468,0.999325094081236,0.999823690523522,0.99981047796959,0.9998274101518
"17",17,0.002759685,180.447,39836,0.0027563048481047,0.00274839054555543,0.00274974541503346,0.0027509647225713,-180.428102584977,-191.851427200844,-195.128782868223,-194.064656000445,-179.217762213001,-190.338501735874,-194.221027589241,-192.854315628468,0.999325094081236,0.999823690523522,0.99981047796959,0.9998274101518
"18",18,0.002904444,200.335,39836,0.00288553759462853,0.00290965247265143,0.00290570831071668,0.00290920603904776,-180.428102584977,-191.851427200844,-195.128782868223,-194.064656000445,-179.217762213001,-190.338501735874,-194.221027589241,-192.854315628468,0.999325094081236,0.999823690523522,0.99981047796959,0.9998274101518
"19",19,0.000255428,19.9323,39837,0.000266476145590963,0.000248436057065137,NA,NA,-168.961156544781,-168.367043019496,NA,NA,-167.750816172805,-166.854117554526,NA,NA,0.994797420774145,0.995479756517884,NA,NA
"20",20,0.000483489,40.1737,39837,0.000484792027699877,0.000493473623483744,NA,NA,-168.961156544781,-168.367043019496,NA,NA,-167.750816172805,-166.854117554526,NA,NA,0.994797420774145,0.995479756517884,NA,NA
"21",21,0.000702426,60.0883,39837,0.000688793997524587,0.000705368061404609,NA,NA,-168.961156544781,-168.367043019496,NA,NA,-167.750816172805,-166.854117554526,NA,NA,0.994797420774145,0.995479756517884,NA,NA
"22",22,0.000893998,80.3182,39837,0.000885068993664332,0.00089702494122306,NA,NA,-168.961156544781,-168.367043019496,NA,NA,-167.750816172805,-166.854117554526,NA,NA,0.994797420774145,0.995479756517884,NA,NA
"23",23,0.001076446,100.219,39837,0.00106737608332388,0.00106827752371909,NA,NA,-168.961156544781,-168.367043019496,NA,NA,-167.750816172805,-166.854117554526,NA,NA,0.994797420774145,0.995479756517884,NA,NA
"24",24,0.00124065,120.123,39837,0.00123902336666206,0.001228274920304,NA,NA,-168.961156544781,-168.367043019496,NA,NA,-167.750816172805,-166.854117554526,NA,NA,0.994797420774145,0.995479756517884,NA,NA
"25",25,0.001386607,140.338,39837,0.00140241080728376,0.00138522607839568,NA,NA,-168.961156544781,-168.367043019496,NA,NA,-167.750816172805,-166.854117554526,NA,NA,0.994797420774145,0.995479756517884,NA,NA
"26",26,0.001514322,160.232,39837,0.0015524383712352,0.00154013399486457,NA,NA,-168.961156544781,-168.367043019496,NA,NA,-167.750816172805,-166.854117554526,NA,NA,0.994797420774145,0.995479756517884,NA,NA
"27",27,0.001642037,180.447,39837,0.00169394760350767,0.00170402990093296,NA,NA,-168.961156544781,-168.367043019496,NA,NA,-167.750816172805,-166.854117554526,NA,NA,0.994797420774145,0.995479756517884,NA,NA
"28",28,0.001778872,180.447,39837,0.00169394760350767,0.00170402990093296,NA,NA,-168.961156544781,-168.367043019496,NA,NA,-167.750816172805,-166.854117554526,NA,NA,0.994797420774145,0.995479756517884,NA,NA
"29",29,0.00012963,19.9323,39838,0.000123433997446613,0.000122263674842486,0.000121844172367973,0.000121378318825336,-201.404303377441,-199.546383211509,-203.459533559537,-201.471536892345,-200.193963005465,-198.033457746538,-202.551778280555,-200.261196520368,0.999441156637959,0.999449040535407,0.99944423463229,0.999444901335744
"30",30,0.000231481,40.1737,39838,0.000240577779214984,0.000240976886994776,0.000240573515038751,0.000240217291645277,-201.404303377441,-199.546383211509,-203.459533559537,-201.471536892345,-200.193963005465,-198.033457746538,-202.551778280555,-200.261196520368,0.999441156637959,0.999449040535407,0.99944423463229,0.999444901335744
"31",31,0.000342593,60.0883,39838,0.00035209297642773,0.000353067533667289,0.000352756451802578,0.000352593682384575,-201.404303377441,-199.546383211509,-203.459533559537,-201.471536892345,-200.193963005465,-198.033457746538,-202.551778280555,-200.261196520368,0.999441156637959,0.999449040535407,0.99944423463229,0.999444901335744
"32",32,0.000472222,80.3182,39838,0.00046157838287648,0.000462436365928803,0.000462288792740479,0.000462310931604603,-201.404303377441,-199.546383211509,-203.459533559537,-201.471536892345,-200.193963005465,-198.033457746538,-202.551778280555,-200.261196520368,0.999441156637959,0.999449040535407,0.99944423463229,0.999444901335744
"33",33,0.000574074,100.219,39838,0.000565550340435862,0.000565880456901302,0.000565934180313332,0.000566088289505328,-201.404303377441,-199.546383211509,-203.459533559537,-201.471536892345,-200.193963005465,-198.033457746538,-202.551778280555,-200.261196520368,0.999441156637959,0.999449040535407,0.99944423463229,0.999444901335744
"34",34,0.000666667,120.123,39838,0.00066583639099036,0.00066550271111623,0.00066575163236787,0.000665971158375169,-201.404303377441,-199.546383211509,-203.459533559537,-201.471536892345,-200.193963005465,-198.033457746538,-202.551778280555,-200.261196520368,0.999441156637959,0.999449040535407,0.99944423463229,0.999444901335744
