"","Feedingtype","Predatorlifestage","Location","Regressionslope","Regressionintercept","R2","Fvalue","pvalue"
"1","insectivorous","adult","Andaman Sea (West of South Thailand)","NA","NA","NA","NA","NA"
"2","insectivorous","adult","Antarctic Peninsula","NA","NA","NA","NA","NA"
"3","insectivorous","adult","Apalachicola Bay, Florida","NA","NA","NA","NA","NA"
"4","insectivorous","adult","Atlantic Ocean","NA","NA","NA","NA","NA"
"5","insectivorous","adult","Cape Cod Bay, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"6","insectivorous","adult","Catalan Sea","NA","NA","NA","NA","NA"
"7","insectivorous","adult","Crooked Island Sound, Florida","NA","NA","NA","NA","NA"
"8","insectivorous","adult","Eastern Mediterranean","NA","NA","NA","NA","NA"
"9","insectivorous","adult","Europe, Celtic Sea ecosystem","NA","NA","NA","NA","NA"
"10","insectivorous","adult","French Polynesian EEZ","NA","NA","NA","NA","NA"
"11","insectivorous","adult","Great Channel South, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"12","insectivorous","adult","Great South Bay, Long Island, New York","NA","NA","NA","NA","NA"
"13","insectivorous","adult","Greenland","NA","NA","NA","NA","NA"
"14","insectivorous","adult","Gulf of Alaska","NA","NA","NA","NA","NA"
"15","insectivorous","adult","Gulf of Maine, New England","NA","NA","NA","NA","NA"
"16","insectivorous","adult","Jeffreys Ledge, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"17","insectivorous","adult","Mid Atlantic","NA","NA","NA","NA","NA"
"18","insectivorous","adult","NE North Sea and Skaggerak","NA","NA","NA","NA","NA"
"19","insectivorous","adult","Off the Bay of Biscay","NA","NA","NA","NA","NA"
"20","insectivorous","adult","Oxwich Bay, Wales","NA","NA","NA","NA","NA"
"21","insectivorous","adult","South of Marthas Vineyard, New England","NA","NA","NA","NA","NA"
"22","insectivorous","adult","Stellwagen Bank, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"23","insectivorous","adult","Strait of Georgia","NA","NA","NA","NA","NA"
"24","insectivorous","adult","W Greenland","NA","NA","NA","NA","NA"
"25","insectivorous","adult","Western North Pacific","NA","NA","NA","NA","NA"
"26","insectivorous","juvenile","Andaman Sea (West of South Thailand)","NA","NA","NA","NA","NA"
"27","insectivorous","juvenile","Antarctic Peninsula","NA","NA","NA","NA","NA"
"28","insectivorous","juvenile","Apalachicola Bay, Florida","NA","NA","NA","NA","NA"
"29","insectivorous","juvenile","Atlantic Ocean","NA","NA","NA","NA","NA"
"30","insectivorous","juvenile","Cape Cod Bay, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"31","insectivorous","juvenile","Catalan Sea","NA","NA","NA","NA","NA"
"32","insectivorous","juvenile","Crooked Island Sound, Florida","NA","NA","NA","NA","NA"
"33","insectivorous","juvenile","Eastern Mediterranean","NA","NA","NA","NA","NA"
"34","insectivorous","juvenile","Europe, Celtic Sea ecosystem","NA","NA","NA","NA","NA"
"35","insectivorous","juvenile","French Polynesian EEZ","NA","NA","NA","NA","NA"
"36","insectivorous","juvenile","Great Channel South, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"37","insectivorous","juvenile","Great South Bay, Long Island, New York","NA","NA","NA","NA","NA"
"38","insectivorous","juvenile","Greenland","NA","NA","NA","NA","NA"
"39","insectivorous","juvenile","Gulf of Alaska","NA","NA","NA","NA","NA"
"40","insectivorous","juvenile","Gulf of Maine, New England","NA","NA","NA","NA","NA"
"41","insectivorous","juvenile","Jeffreys Ledge, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"42","insectivorous","juvenile","Mid Atlantic","NA","NA","NA","NA","NA"
"43","insectivorous","juvenile","NE North Sea and Skaggerak","NA","NA","NA","NA","NA"
"44","insectivorous","juvenile","Off the Bay of Biscay","NA","NA","NA","NA","NA"
"45","insectivorous","juvenile","Oxwich Bay, Wales","NA","NA","NA","NA","NA"
"46","insectivorous","juvenile","South of Marthas Vineyard, New England","NA","NA","NA","NA","NA"
"47","insectivorous","juvenile","Stellwagen Bank, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"48","insectivorous","juvenile","Strait of Georgia","NA","NA","NA","NA","NA"
"49","insectivorous","juvenile","W Greenland","NA","NA","NA","NA","NA"
"50","insectivorous","juvenile","Western North Pacific","NA","NA","NA","NA","NA"
"51","insectivorous","larva","Andaman Sea (West of South Thailand)","NA","NA","NA","NA","NA"
"52","insectivorous","larva","Antarctic Peninsula","NA","NA","NA","NA","NA"
"53","insectivorous","larva","Apalachicola Bay, Florida","NA","NA","NA","NA","NA"
"54","insectivorous","larva","Atlantic Ocean","NA","NA","NA","NA","NA"
"55","insectivorous","larva","Cape Cod Bay, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"56","insectivorous","larva","Catalan Sea","NA","NA","NA","NA","NA"
"57","insectivorous","larva","Crooked Island Sound, Florida","NA","NA","NA","NA","NA"
"58","insectivorous","larva","Eastern Mediterranean","NA","NA","NA","NA","NA"
